"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","1545","Levetiracetam Infusion 1000mg/100ml","Each 100ml contains:
Levetiracetam IP 1000mg
Sodium Chloride IP 750mg
Water for Injections IP q. s.","M/s Akums Drugs & Pharmaceuticals Limited","M/s Abbott Healthcare Pvt. Ltd.","Injection","148.72","1328(E)","25-Mar-21"
"","1546","Telmisartan + Cilnidipine + Metoprolol Tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 47.50mg eq. to Metoprolol Tartrate  (as extended release) 50mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Mankind Pharma Limited","1 Tablet","11.96","1328(E)","25-Mar-21"
"","1547","Telmisartan + Cilnidipine + Metoprolol Tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate  (as extended release) 25mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Mankind Pharma Limited","1 Tablet","9.64","1328(E)","25-Mar-21"
"","1548","Labetalol Tablet","Each film coated tablet contains:
Labetalol Hydrochloride IP 200mg","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s  Sun Pharma Laboratories Limited","1 Tablet","22.38","1328(E)","25-Mar-21"
"","1549","Aceclofenac + Paracetamol + Thiocolchicoside Tablet","Each film coated tablet contains:
Aceclofenac IP 100mg,
Paracetamol IP 325mg 
Thiocolchicoside IP 4mg","M/s Synokem Pharmaceuticals Ltd.","M/s Mylan Pharmaceuticals Private Limited.","1 Tablet","15.18","1328(E)","25-Mar-21"
"","1550","Rabeprazole + Domperidone capsule","Each hard gelatine capsule contains:
Rabeprazole Sodium IP 20mg (as enteric coated pellets) 
Domperidone IP 30mg (As sustained release pellets)","M/s Theon Pharmaceuticals Ltd.","M/s Eris Healthcare Private Limited","Capsule","9.11","1328(E)","25-Mar-21"
"","1551","Paracetamol + Nimesulide capsule","Each hard gelatine capsule contains:
Paracetamol IP 325mg,
Nimesulide BP 100mg","M/s Shivalik Remedies Pvt. Ltd.","M/s Eris Healthcare Private Limited","Capsule","3.98","1328(E)","25-Mar-21"
"","1552","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s Exemed Pharmaceutical","M/s Zydus Healthcare Limited","1 Tablet","11.81","1328(E)","25-Mar-21"
"","1553","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s Exemed Pharmaceutical","M/s Zydus Healthcare Limited","1 Tablet","10.22","1328(E)","25-Mar-21"
"","1554","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s Alkem Healthscience (A unit of Alkem Laboratories Ltd.)","M/s Alkem Laboratories Ltd.","1 Tablet","6.74","1328(E)","25-Mar-21"
"","1555","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s Alkem Healthscience (A unit of Alkem Laboratories Ltd.)","M/s Alkem Laboratories Ltd.","1 Tablet","8.12","1328(E)","25-Mar-21"
"","1556","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s Alkem Healthscience (A unit of Alkem Laboratories Ltd.)","M/s Alkem Laboratories Ltd.","1 Tablet","10.22","1328(E)","25-Mar-21"
"","1557","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s Alkem Healthscience (A unit of Alkem Laboratories Ltd.)","M/s Alkem Laboratories Ltd.","1 Tablet","11.81","1328(E)","25-Mar-21"
"","1558","Atorvastatin and
Aspirin Capsule","Each Hard gelatine capsule contains:
Atorvastatin calcium IP eq. to Atorvastatin 40mg,
Aspirin IP 75mg (As Gastro-resistant tablet IP)","M/s USV Private Limited.","M/s USV Private Limited.","Capsule","20.22","1328(E)","25-Mar-21"
"","1559","Vildagliptin + Metformin Hydrochloride Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP 500mg
Vildagliptin 50mg,","M/s Pure & Cure Healthcare Pvt. Ltd.","M/s Blue Cross Laboratories Pvt. Ltd.","1 Tablet","5.90","1328(E)","25-Mar-21"
"","1560","Vildagliptin + Metformin Hydrochloride Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP 1000mg
Vildagliptin 50mg,","M/s Pure & Cure Healthcare Pvt. Ltd.","M/s Blue Cross Laboratories Pvt. Ltd.","1 Tablet","6.90","1328(E)","25-Mar-21"
"","1561","Telmisartan + Chlorthalidone Tablet (TELMIDUCE CH  &  MACSART CH 6.25)","Each uncoated tablet contains:
Telmisartan IP 40mg,
Chlorthalidone IP 6.25mg","M/s Macleods Pharmaceuticals Limited","M/s Macleods Pharmaceuticals Limited","1 Tablet","8.63","1328(E)","25-Mar-21"
"","1562","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s USV Limited","1 Tablet","11.81","1328(E)","25-Mar-21"
"","1563","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s USV Limited","1 Tablet","10.22","1328(E)","25-Mar-21"
"","1564","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Intas Pharmaceuticals Limited","1 Tablet","6.74","1328(E)","25-Mar-21"
"","1565","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Intas Pharmaceuticals Limited","1 Tablet","8.12","1328(E)","25-Mar-21"
"","1566","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Intas Pharmaceuticals Limited","1 Tablet","11.81","1328(E)","25-Mar-21"
"","1567","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Intas Pharmaceuticals Limited","1 Tablet","10.22","1328(E)","25-Mar-21"
"","1568","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s Exemed Pharmaceutical","M/s Zydus Healthcare Limited","1 Tablet","6.74","1328(E)","25-Mar-21"
"","1569","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s Exemed Pharmaceutical","M/s Zydus Healthcare Limited","1 Tablet","8.12","1328(E)","25-Mar-21"
"","1570","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Eris Lifesciences Limited","1 Tablet","6.74","1328(E)","25-Mar-21"
"","1571","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 5mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Eris Lifesciences Limited","1 Tablet","8.12","1328(E)","25-Mar-21"
"","1572","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 500mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Eris Lifesciences Limited","1 Tablet","10.22","1328(E)","25-Mar-21"
"","1573","Dapagliflozin + Metformin Hydrochloride Tablet","Each film-coated  tablet contains:
Dapagliflozin Propanediol monohydrate eq. to Dapagliflozin 10mg,
Metformin Hydrochloride IP 1000mg (As Extended release form)","M/s MSN Laboratories Pvt. Ltd.","M/s Eris Lifesciences Limited","1 Tablet","11.81","1328(E)","25-Mar-21"
"","1574","Budesonide Tablet","Each film coated extended release tablet contains:
Budesonide IP 9mg","M/s Sun Pharmaceutical Industries Limited","M/s Sun Pharma Laboratories Limited","1 Tablet","40.17","1859(E)","14-May-21"
"","1575","Alpha Lipoic Acid, Methylcobalamin, Selenium, Chromium Picolinate, Zinc Sulphate, Myo-Inositol & Folic Acid Capsule","Each soft gelatine capsule contains:
Alpha Lipoic Acid USP 200mg
Methylcobalamin IP 1500mcg,
Selenium Dioxide Monohydrated USP eq. to Elemental Selenium 55mcg
Chromium Picolinate USP 200mcg
Zinc Sulphate IP 27.5mg
Myo-Inositol BP 100mg
Folic Acid IP 1.5mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Intas Pharmaceuticals Ltd.","Capsule","13.76","1724(E)","30-Apr-21"
"","1576","Telmisartan +  Cilnidipine + Metoprolol  (ER) tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 47.50mg eq. to Metoprolol Tartrate  (as extended release) 50mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Sun Pharma Laboratories Limited","1 Tablet","12.41","1724(E)","30-Apr-21"
"","1577","Telmisartan +  Cilnidipine + Metoprolol  (ER) tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate  (as extended release) 25mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Sun Pharma Laboratories Limited","1 Tablet","10.16","1724(E)","30-Apr-21"
"","1578","Paracetamol +  Phenylephrine + Chlorpheniramine tablet","Each uncoated tablet contains:
Paracetamol IP 500mg
Phenylephrine Hydrochloride IP 10mg
Chlorpheniramine maleate IP 2mg","M/s Alembic Pharmaceuticals Limited","M/s Alembic Pharmaceuticals Limited","1 Tablet","3.82","1724(E)","30-Apr-21"
"","1579","Telmisartan +  Cilnidipine + Metoprolol  (ER) tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate  (as extended release) 25mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Cadila Pharmaceuticals Ltd.","1 Tablet","10.16","1724(E)","30-Apr-21"
"","1580","Telmisartan +  Cilnidipine + Metoprolol  (ER) tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 47.50mg eq. to Metoprolol Tartrate  (as extended release) 50mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Cadila Pharmaceuticals Ltd.","1 Tablet","12.41","1724(E)","30-Apr-21"
"","1581","Telmisartan +  Chlorthalidone + Metoprolol  (Extended Release) tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Chlorthalidone IP 12.50mg 
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate  (Extended Release form) 25mg","M/s Ajanta Pharma Limited","M/s Glenmark Pharmaceuticals Ltd.","1 Tablet","11.76","1724(E)","30-Apr-21"
"","1582","Telmisartan +  Chlorthalidone + Metoprolol  (Extended Release) tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Chlorthalidone IP 12.50mg 
Metoprolol Succinate IP 47.50mg eq. to Metoprolol Tartrate  (Extended Release form) 50mg","M/s Ajanta Pharma Limited","M/s Glenmark Pharmaceuticals Ltd.","1 Tablet","13.97","1724(E)","30-Apr-21"
"","1583","Telmisartan +  Chlorthalidone + Metoprolol  (Extended Release) tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Chlorthalidone IP 6.25mg 
Metoprolol Succinate IP 47.50mg eq. to Metoprolol Tartrate  (Extended Release form) 50mg","M/s Ajanta Pharma Limited","M/s Glenmark Pharmaceuticals Ltd.","1 Tablet","10.81","1724(E)","30-Apr-21"
"","1584","Telmisartan +  Chlorthalidone + Metoprolol  (Extended Release) tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Chlorthalidone IP 6.25mg 
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate  (Extended Release form) 25mg","M/s Ajanta Pharma Limited","M/s Glenmark Pharmaceuticals Ltd.","1 Tablet","9.86","1724(E)","30-Apr-21"
"","1585","Amoxycillin Oral Suspension","Each 5ml of the reconstituted suspension contains:
Amoxycillin Trihydrate eq. to Amoxycillin IP 125mg","M/s Theon Pharmaceuticals Limited","M/s Torrent Pharmaceuticals Limited","Oral Suspension","0.80","1724(E)","30-Apr-21"
"","1586","Amoxycillin Dispersible Tablet IP","Each uncoated dispersible tablet contains:
Amoxycillin Trihydrate IP eq. to Amoxycillin  125mg","M/s Malik Lifesciences Pvt. Ltd.","M/s Torrent Pharmaceuticals Limited","1 Tablet","4.64","1724(E)","30-Apr-21"
"","1587","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated bilayered tablet contains:
Metformin Hydrochloride IP 1000mg (as extended release form)
Dapagliflozin Propanediol Monohydrate eq. to Dapagliflozin 5mg","M/s Exemed Pharmaceuticals","M/s Wockhardt Limited","1 Tablet","8.04","1724(E)","30-Apr-21"
"","1588","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated bilayered tablet contains:
Metformin Hydrochloride IP 500mg (as extended release form)
Dapagliflozin Propanediol Monohydrate eq. to Dapagliflozin 10mg","M/s Exemed Pharmaceuticals","M/s Wockhardt Limited","1 Tablet","9.98","1724(E)","30-Apr-21"
"","1589","Mefenamic Acid & Paracetamol Tablets","Each uncoated tablet contains:
Mefenamic Acid IP 500mg
Paracetamol IP 325mg","M/s Mascot Health Series Pvt. Ltd.","M/s Micro Labs Limited","1 Tablet","3.58","1558(E)","26-Mar-24"
"","1590","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated bilayered tablet contains:
Metformin Hydrochloride IP 1000mg (as extended release form)
Dapagliflozin Propanediol Monohydrate eq. to Dapagliflozin 10mg","M/s Exemed Pharmaceuticals","M/s Wockhardt Limited","1 Tablet","11.53","1724(E)","30-Apr-21"
"","1591","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 500mg (As extended release)
Dapagliflozin 5mg","M/s MSN Laboratories Pvt. Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","6.65","1724(E)","30-Apr-21"
"","1592","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 1000mg (As extended release)
Dapagliflozin 5mg","M/s MSN Laboratories Pvt. Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","8.04","1724(E)","30-Apr-21"
"","1593","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 500mg (As extended release)
Dapagliflozin 10mg","M/s MSN Laboratories Pvt. Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","9.98","1724(E)","30-Apr-21"
"","1594","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 1000mg (As extended release)
Dapagliflozin 10mg","M/s MSN Laboratories Pvt. Ltd.","M/s Alembic Pharmaceuticals Limited","1 Tablet","11.53","1724(E)","30-Apr-21"
"","1595","Etamsylate & Tranexamic Acid Tablets","Each film coated tablet contains:
Etamsylate BP 250mg,
Tranexamic Acid IP 250mg","M/s Pure and Cure Healthcare Pvt. Limited","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","17.26","1724(E)","30-Apr-21"
"","1596","Atorvastatin Tablet IP","Each film coated tablet contains:
Atorvastatin Calcium IP eq. to Atorvastatin 80mg","M/s Pure and Cure Healthcare Pvt. Limited","M/s Mankind pharma Ltd.","1 Tablet","27.54","1724(E)","30-Apr-21"
"","1597","Amoxycillin + Potassium Clavulanate Oral Suspenssion","Each 5ml after reconstituted suspension contains:
Amoxycillin Trihydrate eq. to Amoxycillin IP 400mg
Potassium Clavulanate Diluted eq. to Clavulanic Acid 57mg","M/s Torrent Pharmaceuticals Limited","M/s Torrent Pharmaceuticals Limited","Suspanssion","3.54","1724(E)","30-Apr-21"
"","1598","Mefenamic Acid & Tranexamic Acid Tablets","Each film coated tablet contains:
Mefenamic Acid IP 250mg
Tranexamic Acid IP 500mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s German Remedies Pharmaceuticals Private Limited","1 Tablet","25.07","1724(E)","30-Apr-21"
"","1599","Povidone Iodine Gargle","Each contains:
Povidone-Iodine IP 2% w/v (Availabile Iodine 0.2w/v)","M/s Nanz Medscience Pharma Pvt. Ltd.","M/s Glenmark Pharmaceuticals Ltd.","Gargle","1.72","1724(E)","30-Apr-21"
"","1600","Azelnidipine +  Telmisartan Tablet","Each film coated bi-layered tablet contains: 
Azelnidipine IP 8mg
Telmisartan IP 80mg","M/s Synokem Pharmaceuticals Limited","M/s Mankind pharma Ltd.","1 Tablet","13.22","1724(E)","30-Apr-21"
"","1601","Azelnidipine +  Telmisartan Tablet","Each film coated bi-layered tablet contains: 
Azelnidipine IP 8mg
Telmisartan IP 40mg","M/s Synokem Pharmaceuticals Limited","M/s Mankind pharma Ltd.","1 Tablet","11.02","1724(E)","30-Apr-21"
"","1602","Nebivolol Hydrochloride + Telmisartan Tablet","Each uncoated bilayered tablet contains:
Nebivolol Hydrochloride IP eq. to Nebivolol 5mg
Telmisartan IP 40mg","M/s Windlas Biotech Private Limited","M/s Mankind pharma Ltd.","1 Tablet","12.59","1724(E)","30-Apr-21"
"","1603","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 500mg (as extended release form)
Dapagliflozin 5mg","M/s MSN Laboratories Pvt. Ltd.","M/s MSN Laboratories Pvt. Ltd.","1 Tablet","6.65","1724(E)","30-Apr-21"
"","1604","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 1000mg (as extended release form)
Dapagliflozin 5mg","M/s MSN Laboratories Pvt. Ltd.","M/s MSN Laboratories Pvt. Ltd.","1 Tablet","8.04","1724(E)","30-Apr-21"
"","1605","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 500mg (as extended release form)
Dapagliflozin 10mg","M/s MSN Laboratories Pvt. Ltd.","M/s MSN Laboratories Pvt. Ltd.","1 Tablet","9.98","1724(E)","30-Apr-21"
"","1606","Dapagliflozin + Metformin Hydrochloride extended release Tablet","Each film coated tablet contains:
Metformin Hydrochloride IP/USP 1000mg (as extended release form)
Dapagliflozin 10mg","M/s MSN Laboratories Pvt. Ltd.","M/s MSN Laboratories Pvt. Ltd.","1 Tablet","11.53","1724(E)","30-Apr-21"
"","1607","Vitamin D3 (Cholecalciferol)  orally disintegrating stirps","Each orally disintegrating stirps contains:
Vitamin D3 (Cholecalciferol)  IP 60000 IU","M/s Zim Laboratories Ltd.","M/s Cadila Pharmaceuticals Ltd.","1 Tablet","20.16","1724(E)","30-Apr-21"
"","1608","Torsemide + Spironolactone Tablet","Each Uncoated tablet contains:
Torsemide IP 5mg
Spironolactone IP 50mg","M/s Pure & Cure Healthcare Pvt. Ltd.","M/s RPG Life Sciences Ltd.","1 Tablet","3.61","1724(E)","30-Apr-21"
"","1609","Torsemide + Spironolactone Tablet","Each Uncoated tablet contains:
Torsemide IP 10mg
Spironolactone IP 50mg","M/s Pure & Cure Healthcare Pvt. Ltd.","M/s RPG Life Sciences Ltd.","1 Tablet","5.07","1724(E)","30-Apr-21"
"","1610","Pantoprazole & Domperidone Tablet","Each enteric coated tablet contains:
Pantoprazole Sodium IP eq. to Pantoprazole 40mg
Domperidone IP 10mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Torrent Pharmaceuticals Ltd.","1 Tablet","6.67","1724(E)","30-Apr-21"
"","1611","Pantoprazole & Domperidone Tablet","Each enteric coated tablet contains:
Pantoprazole Sodium IP eq. to Pantoprazole 20mg
Domperidone IP 10mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Torrent Pharmaceuticals Ltd.","1 Tablet","5.72","1724(E)","30-Apr-21"
"","1612","Vildagliptin + Metformin Hydrochloride (SR) Tablet","Each uncoated bilayered tablet contains:
Vildagliptin 50mg,
Metformin Hydrochloride IP  500mg (As sustained release form)","M/s Mascot Health Series Pvt. Ltd.","M/s Alembic Pharmaceuticals Ltd.","1 Tablet","6.86","1724(E)","30-Apr-21"
"","1613","Vildagliptin + Metformin Hydrochloride (SR) Tablet","Each uncoated bilayered tablet contains:
Vildagliptin 50mg,
Metformin Hydrochloride IP  1000mg (As sustained release form)","M/s Mascot Health Series Pvt. Ltd.","M/s Alembic Pharmaceuticals Ltd.","1 Tablet","7.51","1724(E)","30-Apr-21"
"","1614","Iron with Folic Acid & Cyanocobalamin Syrup","Each 5ml contains:
Ferric Ammonium Citrate IP 110mg eq. to Elemental Iron 22.55mg
Folic Acid IP 1.5mg
Cyanocobalamin IP 15mcg","M/s Biogenetic Drugs Pvt. Ltd","M/s Intas pharmaceuticals Ltd.","Syrup","0.16","1724(E)","30-Apr-21"
"","1615","Iron Vitamin B12 and Folic Acid Syrup","Each 5ml contains:
Ferric Ammonium Citrate IP 110mg eq. to Elemental Iron 22.55mg
Folic Acid IP 1.5mg
Cyanocobalamin IP 15mcg","M/s East African (India) Overseas","M/s Intas pharmaceuticals Ltd.","Syrup","0.16","1724(E)","30-Apr-21"
"","1616","Etoricoxib + Paracetamol Tablet","Each film coated tablet contains                                           Etoricoxib IP 60 mg
Paracetamol  IP 325 mg","M/s Acme Lifetech LLP.","M/s Troikaa Pharmaceuticals Ltd.","1 Tablet","5.5","4884(E)","26-Nov-21"
"","1617","Telmisartan, Cilnidipine & Metoprolol (ER) Tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate  (as extended release) 25mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Eris Lifesciences Limited","1 Tablet","10.16","1724(E)","30-Apr-21"
"","1618","Telmisartan, Cilnidipine & Metoprolol (ER) Tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 47.5mg eq. to Metoprolol Tartrate  (as extended release) 50mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Eris Lifesciences Limited","1 Tablet","12.41","1724(E)","30-Apr-21"
"","1619","Dexamethasone Tablet","Each uncoated tablet contains:
Dexamethasone IP 6mg","M/s Cadila Healthcare Lmited","M/s Zydus Healthcare Limited","1 Tablet","3.36","1859(E)","14-May-21"
"","1620","Trastuzumab injection","Each vial contains:
Trastuzumab 150mg","M/s Roche Products (India) Pvt. Ltd.","M/s Cipla Limited","Injection","15526.97","2334(E)","15-Jun-21"
"","1621","Ivabradine Hydrochloride + Metoprolol Tartrate Tablet","Each film coated tablet contains:
Ivabradine Hydrochloride eq. to Ivabradine 5 MG + Metoprolol Tartrate 25 MG","M/s Archimedis Healthcare Pvt. Ltd.","M/s Lupin Limited","1 Tablet","15.75","2119(E)","01-Jun-21"
"","1622","Ivabradine Hydrochloride + Metoprolol Tartrate Tablet","Each film coated tablet contains:
Ivabradine Hydrochloride eq. to Ivabradine 7.5 MG + Metoprolol Tartrate 25 MG","M/s Archimedis Healthcare Pvt. Ltd.","M/s Lupin Limited","1 Tablet","20.68","2334(E)","15-Jun-21"
"","1623","Ivabradine Hydrochloride + Metoprolol Tartrate Tablet","Each film coated tablet contains:
Ivabradine Hydrochloride eq. to Ivabradine 5 MG + Metoprolol Tartrate 50 MG","M/s Archimedis Healthcare Pvt. Ltd.","M/s Lupin Limited","1 Tablet","18.14","2119(E)","01-Jun-21"
"","1624","Telmisartan, Cilnidipine & Metoprolol (ER) Tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 23.75mg eq. to Metoprolol Tartrate (as extended release) 25mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Neomac Pharmaceuticals Pvt. Ltd.","1 Tablet","10.16","2119(E)","01-Jun-21"
"","1625","Telmisartan, Cilnidipine & Metoprolol (ER) Tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Cilnidipine IP 10mg
Metoprolol Succinate IP 47.50mg eq. to Metoprolol Tartrate (as extended release) 50mg","M/s Ravenbhel Healthcare Pvt. Ltd.","M/s Neomac Pharmaceuticals Pvt. Ltd.","1 Tablet","12.41","2119(E)","01-Jun-21"
"","1626","Doxycycline & Lactic Acid Bacillus Capsule","Each hard gelatine  capsule contains:
Doxycycline hyclate IP eq. to Doxycycline (as pellets) 100mg 
Lactic Acid Bacillus (As enteric coated pellets) 5 Billion Spores","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s Skymap Pharmaceuticals Pvt. Ltd.","Capsule","6.94","2119(E)","01-Jun-21"
"","1627","Doxycycline & Lactic Acid Bacillus Capsule","Each hard gelatine  capsule contains:
Doxycycline hyclate IP eq. to Doxycycline (as pellets) 100mg 
Lactic Acid Bacillus (As enteric coated pellets) 5 Billion Spores","M/s Skymap Pharmaceuticals Pvt. Ltd.","M/s Glensmith Labs Pvt. Ltd.","Capsule","6.94","2119(E)","01-Jun-21"
"","1628","Darunavir + Ritonavir Tablet","Each film coated tablet contains:
Darunavir Ethanolate eq. Darunavir IP 800mg
Ritonavir IP 100mg","M/s Hetero Labs Ltd.","M/ Cipla limited","1 Tablet","190.44","2334(E)","15-Jun-21"
"","1629","Darunavir + Ritonavir Tablet","Each film coated tablet contains:
Darunavir Ethanolate eq. Darunavir IP 600mg
Ritonavir IP 100mg","M/s Hetero Labs Ltd.","M/ Cipla limited","1 Tablet","145.70","2119(E)","01-Jun-21"
