"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","55","Nitrofurantoin Capsule","Each hard gelatin capsule contains- Nitrofurantoin (Hydrous/anhydrous - Macrocrystals) eq. to Nitrofurantoin - 100mg","M/s Swis Garnier Life Sciences","M/s Mnakind Pharma Ltd.","Capsule","7.63","1315(E)","29-May-14"
"","56","Choline Salicylate + Lignocain Hcl gel","Each Gm contains: Choline Salicylate Solution eq. to Choline Salicylate 8.7% w//w, Lignocaine Hcl 2% w/w, Preservative Benzalkonium Chloride Solution 0.01%w/w, In pleasant flavoured gel based.","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s Plenteous Pharma Ltd.","Gel","3.26","1316(E)","29-May-14"
"","57","EvimetoTM AM","Each uncoated bilayer tablet contains:Metoprolol Succinate USP 47.5 mg, Eq. to Metoprolol Tartrate 50 mg (In extended release form),  Amlodipine Besilate IP,  Eq. to Amlodipine 5 mg,Excipients q.s. Colour- Lake of Sunset Yellow FCF","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s Jubilant Life Sceineces Ltd.","1 Tablet","5.92","1317(E)","29-May-14"
"","58","Glybza 1000","Each uncoated prolonged release tablet contains: Metformin Hydrochloride IP 1000 mg","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s Jubilant Life Sceineces Ltd.","1 Tablet","3.07","1317(E)","29-May-14"
"","59","EvimetoTM 100","Each film coated extended release tablet contains:Metoprolol Succinate USP 95 mg, Eq. to Metoprolol Tartrate 100 mg Excipients q.s. Colour- Titanium Dioxide","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s Jubilant Life Sceineces Ltd.","1 Tablet","7.39","1317(E)","29-May-14"
"","60","AgivogTM M 0.3 mg Tablet","Each uncoated bilayered tablet contains: Metformin Hydrochloride (in prolonged released form) IP 500 mg, Voglibose IP 0.3 mg, Excipient q.s., Colour Lake Indigo Carmine","M/s Hetero Labs. Ltd.,","M/s Jubilant Life Sceineces Ltd.","1 Tablet","52.38","1318(E)","29-May-14"
"","61","Clavilip 10 capsule","Each Hard Gelatin capsule contains: Atrovastatin Calcium eq. to Atrovastatin 10mg (as pellets) Clopidrogel 75mg (as pelletes)","M/s Synochme Pharma. Ltd.","M/s Intas Pharma Ltd.","Capsule","10.29","1319(E)","29-May-14"
"","62","Trivoglitor 1","Each uncoated bilayered tablet contains: Metformin Hydrochloride (in sustain release form) IP 500 mg, Glimepride IP 1 mg, Voglibose IP 0.2 mg, Excipient q.s.,","M/s Hetero Labs. Ltd.,","M/s Torrent Pharma Ltd.","1 Tablet","8.46","1320(E)","29-May-14"
"","63","Trivoglitor 2","Each uncoated bilayered tablet contains: Metformin Hydrochloride (in sustain release form) IP 500 mg, Glimepride IP 2 mg, Voglibose IP 0.2 mg, Excipient q.s.,","M/s Hetero Labs. Ltd.,","M/s Torrent Pharma Ltd.","1 Tablet","10.47","1320(E)","29-May-14"
"","64","JubiglimTM M1","Each uncoated bilayered tablet contains: Metformin Hydrochloride IP 500 mg(In prolonged  Release form), Glimepride IP 1 mg","M/s Hetero Labs. Ltd.,","M/s Jubilant Life Sceineces Ltd.","1 Tablet","38.46","1793(E)","10-Jul-14"
"","65","JubiglimTM M1","Each uncoated bilayered tablet contains: Metformin Hydrochloride IP 500 mg(In prolonged  Release form), Glimepride IP 2 mg","M/s Hetero Labs. Ltd.,","M/s Jubilant Life Sceineces Ltd.","1 Tablet","4.5","1793(E)","10-Jul-14"
"","66","Es-Omepraz-DSR","Each hard gelatin capsule contains- Esomeprazole - 20 magnesium Trihydrate eq. to Esomerprazole 40 mg (as enteric coated pellets) Domperidone 30 mg (as sustained release pellets)","M/s Astam Healthcare Pvt. Ltd.","M/s Alkem Laboratories Ltd.","Capsule","7.03","1794(E)","10-Jul-14"
"","67","Cefixime Oral Suspension IP 100 mg (Sachet)","Each 1gm Sachet Contains: Cefixime IP as Trihydrate eq.to Anhydrous Cefixime 100mg","M/s Maxim Pharmaceuticals Pvt. Ltd.","M/s Mankind Pharma Ltd.","1 gm Sachet","9.53","1795(E)","10-Jul-14"
"","68","Artesunate Injection","Each vial contains:Artesunate (Sterile) IP 60 mg, The pack contains: 1 ml ampoule of Sterile Sodium Bicarbonate Injection 5% w/v and 5 ml ampoule of Sterile Sodium Chloride Injection 0.9% w/v.","M/s ANG Lifesciences (I) Pvt. Ltd.","M/s Emcure Pharmaceuticals Limited","Injection","180.04","1796(E)","10-Jul-14"
"","69","(DESO-ECP Tablet)","Each film coated tablet contains:Desogestrel BP 0.15 mg , Ethinylestradiol IP 0.03 mg","M/s Synokem Pharmaceuticals Ltd","M/s Emcure Phamaceuticals Ltd.,","1 Tablet","4.72","1797(E)","10-Jul-14"
"","70","Glimepiride + Voglibose + Metformin Hydrochloride  Tablets","Each uncoated bilayered tablet contains: Glimepiride IP 2mg Voglibose – 0.3 mg Metformin Hydrochloride IP 1000 mg (as sustained release form)","M/s Windlas Biotech Limited","M/s Micro Labs Ltd","1 Tablet","10.61","1798(E)","10-Jul-14"
"","71","Glimepiride + Voglibose + Metformin Hydrochloride (SR)  Tablets","Each uncoated bilayered tablet contains: Glimepiride IP 1mg Voglibose – 0.2 mg Metformin Hydrochloride IP 500 mg (as sustained release form)","M/s Akums Drugs & Pharmaceuticals Pvt. Ltd.","M/s RPG Life Sciences Ltd.","1 Tablet","8.46","1799(E)","10-Jul-14"
"","72","Atorvastatin & Clopidogrel Capsules (CLAVILIP 20)","Each hard gelatin capsule contains:
Atrovastatin Calcium IP 
Eq. to Atrovastatin 20 mg (As pellets)
Clopidogrel Bisulphate IP 
Eq. to Clopidogrel 75mg (As pellets)","M/s Synokem Pharmaceuticals Ltd","M/s Intas Pharma Ltd.","Capsule","15.07","1800(E)","10-Jul-14"
"","73","Nadifloxacin, Mometasone Furoate and Miconazole Nitrate Cream","Each gm contains:
 Nadifloxacin 10 mg (1.0% w/w)   
 Mometasone Furoate IP 1.0 mg (0.1% w/w)
 Miconazole Nitrate IP 20 mg (2.0% w/w)  
 Preservatives:
 Methylparaben IP 0.18% w/w 
 Propylparaben IP 0.02% w/w","M/s Ajanta Pharma Ltd.,","M/s Ajanta Pharma Ltd.,","Tube","6.37","1801(E)","10-Jul-14"
"","74","Paracetamol 250 mg & Mefenamic Acid 100 mg Suspension","Each 5 ml contains: Paracetamol IP 250 mg,Mefenamic Acid IP 100 mg","M/s Windlas Biotech Limited","M/s Lifestar Pharma Pvt. Ltd.","Suspension","0.59","1802(E)","10-Jul-14"
"","75","Cefixime with ofloxacin Tablets","Each film coated tablet contains:
CefiximeTryhydrate IP Equivalent to Anhydrous Cefixime 200 mg, Ofloxacin- 200 mg","M/s finecure Pharmaceuticals Ltd.","M/s Yash Pharma Laboratories","1 Tablet","9.94","1803(E)","10-Jul-14"
"","76","TelmijubTM AM 80","Each uncoated tablet contains:Telmisartan IP 80 mg, Amlodipine Besilate IP eq. to Amlodipine 5 mg","M/s Theon Pharmaceuticals Ltd.","M/s Jubilant Life Sceineces Ltd.","1 Tablet","110.58","1804(E)","10-Jul-14"
"","77","JubiglimTM Trio 2","Each uncoated bilayered tablet contains:Metformin Hydrochloride IP 500 mg, (In Prolonged Release form), Pioglitazone Hydrochloride eq. to Pioglitazone - IP 15mg, Glimepiride – 2 mg","M/s Hetero Labs Limited","M/s Jubilant Life Sceineces Ltd.","1 Tablet","6.94","1793(E)","10-Jul-14"
"","78","AgivogTM M 0.2","Each uncoated bilayered tablet contains:
Metformin Hydrochloride
(In prolonged release form) IP 500 mg, Voglibose IP 0.2 mg","M/s Hetero Labs Limited","M/s Jubilant Life Sceineces Ltd.","1 Tablet","52.38","1793(E)","10-Jul-14"
"","79","Zydol-P suspension","Each 5ml contains: Paracetamol – 125mg, Mefenamic  Acid – 50mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Jenburkt Pharmaceuticals Ltd.","Suspension","0.45","1810(E)","10-Jul-14"
"","80","TelmijubTM AM 40","Each uncoated tablet contains: Telmisartan IP 40 mg, Amlodipine Besilate IP eq. to Amlodipine 5 mg","M/s Theon Pharmaceuticals Ltd.","M/s Jubilant Life Sciences Limited","1 Tablet","7.02","1804(E)","10-Jul-14"
"","81","Acetaminophen & Tramadol Hydrochloride Tablets USP (325 mg + 37.5 mg)  (Tolydol Tablet)","Each film coated tablet  contains:
Acetaminophen IP 325 mg
Tramadol Hydrochloride IP 37.5 mg","M/s Ipca Laboratories Limited","M/s Ipca Laboratories Limited","1 Tablet","4","1805(E)","10-Jul-14"
"","82","Amlodipine, Telmisartan & Hydrochlorothiazide tablet","Each film coated tablet contains:
Amlodipine – 5 mg, Telmisartan - 40mg,Hydrochlorothiazide – 12.5mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s FDC  Ltd.","1 Tablet","6","1807(E)","10-Jul-14"
"","83","Kofrest Q","Each film coated tablet contains:
Bromhexine Hydrochloride IP 8 mg
Phenylephrine Hydrochloride IP 5 mg 
Guaiphensin IP 100 mg
Chlorpheniramine Maleate Ip 2 mg
Paracetamol IP 325 mg","M/s Crescent Therapeutics Limited","M/s Galpha Laboratories Limited","1 Tablet","2.73","1808(E)","10-Jul-14"
"","84","Trypsin Chymotrypsin & Diclofenac Potassium Tablet","Each enteric coated tablet contains:
50,000 Armour units of enzymatic activity
(supplied by a purified concentrate 
which has specific Trypsin and Chymotrypsin 
activity in a ratio of approximately six to one) 
(As enteric coated) IP 50,000 Armour Units + 
Diclofenac Potassium BP – 50mg","M/s Acme formulation Pvt. Ltd.","M/s Micro Labs. Ltd","1 Tablet","5.8","1809(E)","10-Jul-14"
"","85","Ojen OZ suspension","Each 5ml contains:
Ofloxcacin – 50mg
Ornidazole  - 125mg","M/s Akums Drugs & Pharmaceuticals Ltd","M/s Jenburkt Pharmaceuticals Ltd.","1 Tablet","31","1810(E)","10-Jul-14"
"","86","Modlip D 10 tablet","Each film coated tablet contains:
Atorvastatin calcium eq. to Atorvastatin 10mg 
Vitamin D3 (Cholecalciferol) 1000 I.U.","M/s Akums Drugs & Pharmaceuticals  Ltd.","M/s Torrent Pharma","1 Tablet","8.27","1811(E)","10-Jul-14"
"","87","Metformin Hydrochloride (Prolonged Release) 500 mg, Pioglitazone 15 mg & Glimepiride1 mg Tablets (JubiglimTM Trio 1)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500 mg
(In Prolonged Release form)
Pioglitazone Hydrochloride eq. to Pioglitazone - IP 15mg, Glimepiride – 1 mg","M/s Hetero Labs Limited","M/s Jubilant Life Sciences Limited","1 Tablet","53.56","1793(E)","10-Jul-14"
